Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
76,65,Moya O Brien,F60,34,Female,Midland TC,18:01,4:57,55:08,2:07,48:00,2:08:13
77,107,David Cahill,M45-59,43,Open,3d Tri,19:27,1:10,1:05:37,1:12,41:26,2:08:52
78,187,Paddy Potterton,M25-34,44,Open,,22:33,0:48,1:05:42,0:44,40:08,2:09:55
79,117,John Dillon,M35-44,45,Open,Midland TC,21:49,0:59,1:07:55,1:02,38:39,2:10:24
80,192,Barry Smyth,M35-44,46,Open,Naas TC,21:13,1:02,1:05:22,1:04,42:23,2:11:04
81,156,Enda Mc Brearty,M45-59,47,Open,,22:47,3:13,1:05:49,1:15,38:20,2:11:24
82,140,Robert Hoey,M25-34,48,Open,Edenderry TC,20:41,2:28,1:07:47,0:57,39:51,2:11:44
83,153,Daire Nulty,M25-34,49,Open,,21:40,1:22,1:06:00,1:06,41:58,2:12:06
84,173,Adrian Murphy,M45-59,50,Open,Edenderry TC,22:25,2:26,1:07:13,2:15,39:31,2:13:50
85,119,Donal Doherty,M35-44,51,Open,Mako Tri Club,21:59,1:02,1:11:31,1:10,40:18,2:16:00
86,123,Daniel Eckersall,M25-34,52,Open,Activmultisport TC,23:12,1:49,1:04:50,1:16,45:41,2:16:48
87,160,Mark Mc Givern,M45-59,53,Open,Newry TC,21:42,1:12,1:07:11,1:25,46:17,2:17:47
88,144,Simon Jackson,M35-44,54,Open,Naas TC,24:02,2:41,1:05:31,0:58,44:56,2:18:08
89,110,Colum Caughey,M45-59,55,Open,Cuilcagh TC,21:46,1:12,1:08:18,2:27,44:26,2:18:09
90,113,Eoin Commins,M35-44,56,Open,Activmultisport TC,23:04,7:20,1:02:39,1:11,44:38,2:18:52
91,183,David O Mahony,M45-59,57,Open,,23:57,1:13,1:06:48,1:02,47:13,2:20:13
92,175,Gregory Murphy,M45-59,58,Open,Cuilcagh TC,24:08,1:54,1:09:51,1:13,43:26,2:20:32
93,152,Stephen Leech,M45-59,59,Open,Naas TC,21:40,1:45,1:07:44,1:20,48:13,2:20:42
94,161,Eithne Mc Gorman Curtis,F45-59,35,Female,,23:27,2:10,1:08:49,1:34,44:53,2:20:53
95,138,Bernard Heaney,M45-59,60,Open,,26:43,1:03,1:07:01,1:21,45:35,2:21:43
96,103,Cathal Boland,M35-44,61,Open,TriTanium TC,22:51,2:14,1:10:36,1:39,45:04,2:22:24
97,114,Mark Cornish,M35-44,62,Open,Edenderry TC,21:52,2:35,1:12:16,1:37,44:11,2:22:31
98,149,Artur Kuwik,M45-59,63,Open,Drogheda TC,,,,,,2:23:49
99,172,Luke Murphy,M25-34,64,Open,TriTanium TC,24:17,2:46,1:10:32,1:50,45:16,2:24:41
100,168,Ramon Moreschi,M35-44,65,Open,Activmultisport TC,20:41,1:24,1:12:37,2:22,47:56,2:25:00
101,106,Tom Byrne,M60,66,Open,,20:59,1:30,1:12:22,1:22,50:07,2:26:20
102,193,Josef Szpara,M25-34,67,Open,,25:05,1:43,1:13:50,1:06,45:44,2:27:28
103,190,Shane Scally,M35-44,68,Open,Tullamore TC,26:27,3:52,1:09:54,1:38,46:28,2:28:19
104,131,Michael Gonda,M45-59,69,Open,Pulse TC,25:34,3:28,1:14:20,1:34,43:57,2:28:53
105,121,Brendan Burns Relay,M45-59,70,Open,Naas TC,22:53,1:32,1:12:52,0:51,50:48,2:28:56
106,181,Paul O Connor,M35-44,71,Open,Liquid Motion TC,23:47,1:30,1:19:08,1:06,43:39,2:29:10
107,195,Lar Tierney,M45-59,72,Open,Tullamore TC,24:19,1:56,1:12:02,1:44,49:38,2:29:39
108,188,Michael Rodgers,M45-59,73,Open,Olympian TC,22:24,2:00,1:12:54,1:11,52:04,2:30:33
109,171,Adrian Murphy,M45-59,74,Open,,22:51,2:34,1:14:10,1:43,52:00,2:33:18
110,178,Gareth O Brien,M35-44,75,Open,Setanta TC,23:57,1:55,1:14:47,0:59,51:44,2:33:22
111,102,Martin Baten,M45-59,76,Open,,22:08,3:56,1:15:03,2:05,50:21,2:33:33
112,179,Martin O Brien,M45-59,77,Open,Edenderry TC,27:40,4:54,1:14:54,2:07,46:00,2:35:35
113,116,Nuala Devlin,F45-59,36,Female,,21:35,2:14,1:21:24,1:08,49:42,2:36:03
114,145,Lorna Kavanagh,F35-44,37,Female,Naas TC,25:30,2:22,1:15:01,1:09,52:28,2:36:30
115,128,Stephen Galavan,M25-34,78,Open,,23:45,2:08,1:17:38,1:42,51:56,2:37:09
116,185,Donal Oneill,M35-44,79,Open,Piranha TC,21:56,1:59,1:17:23,2:10,55:17,2:38:45
117,146,Lorna Keegan,F25-34,38,Female,TriTanium TC,23:33,2:25,1:17:59,1:30,53:20,2:38:47
118,162,Daragh Mc Grath,M45-59,80,Open,,23:17,2:12,1:13:47,2:03,57:34,2:38:53
119,194,Alan Thompson,M35-44,81,Open,,27:53,2:45,1:10:37,1:58,57:06,2:40:19
120,55,Sarah Sreenan,F45-59,39,Female,Piranha TC,25:35,2:00,1:15:51,1:28,56:42,2:41:36
